number,city,lat,lng,country,countryCode
1305,Bjelovar,45.8986,16.8489,Croatia,HR
1306,GÄ§arb,36.06,14.2089,Malta,MT
1307,Cerkno,46.1256,13.9817,Slovenia,SI
1308,Sandbach,53.1333,-2.3667,United Kingdom,GB
1309,Stari Trg pri LoÅ¾u,45.7128,14.4694,Slovenia,SI
1310,Chiesanuova,43.9061,12.4214,San Marino,SM
1311,Sveti Jurij ob Å Äavnici,46.5695,16.0235,Slovenia,SI
1312,ReÄica ob Savinji,46.3167,14.9167,Slovenia,SI
1313,Videm,45.85,14.6942,Slovenia,SI
1314,Ljubno,46.3456,14.835,Slovenia,SI
1315,Ulbroka,56.9363,24.3039,Latvia,LV
1316,StraÅ¾a,45.78,15.0728,Slovenia,SI
1317,Senta,45.9273,20.0789,Serbia,RS
1318,TiÅ¡ina,46.6581,16.0917,Slovenia,SI
1319,Å marjeÅ¡ke Toplice,45.862,15.2231,Slovenia,SI
1320,KidriÄevo,46.4036,15.7911,Slovenia,SI
1321,SemiÄ,45.6461,15.1822,Slovenia,SI
1322,PoÅ¾ega,45.3403,17.6853,Croatia,HR
1323,StarÅ¡e,46.4658,15.7672,Slovenia,SI
1324,BaÄka Palanka,45.2519,19.3916,Serbia,RS
1325,Dobrovo,45.9964,13.5264,Slovenia,SI
1326,TurniÅ¡Äe,46.6278,16.3203,Slovenia,SI
1327,Blace,43.297,21.2727,Serbia,RS
1328,La Massana,42.5434,1.5148,Andorra,AD
1329,Tabor,46.2361,15.0183,Slovenia,SI
1330,KriÅ¾evci pri Ljutomeru,46.5683,16.1386,Slovenia,SI
1331,Winchester,51.0167,-1.3167,United Kingdom,GB
1332,Vianden,49.935,6.2089,Luxembourg,LU
1333,Ada,45.8027,20.1285,Serbia,RS
1334,Sveta Trojica v Slovenskih Goricah,46.5767,15.8769,Slovenia,SI
1335,Sveta Ana v Slovenskih Goricah,46.6492,15.8442,Slovenia,SI
1336,Tolmin,46.1864,13.7361,Slovenia,SI
1337,Pazardzhik,42.2,24.3333,Bulgaria,BG
1338,Triesen,47.1101,9.524,Liechtenstein,LI
1339,Benedikt v Slovenskih Goricah,46.6086,15.8883,Slovenia,SI
1340,Sant JuliÃ  de LÃ²ria,42.4664,1.4933,Andorra,AD
1341,Palanga,55.9203,21.071,Lithuania,LT
1342,Faetano,43.9261,12.4981,San Marino,SM
1343,Mirna PeÄ,45.8603,15.0833,Slovenia,SI
1344,Apatin,45.6709,18.9843,Serbia,RS
1345,MÄrupe,56.9032,24.0467,Latvia,LV
1346,Novi Pazar,43.1375,20.5149,Serbia,RS
1347,San Lawrenz,36.0556,14.2036,Malta,MT
1348,RadeÄe,46.0681,15.1839,Slovenia,SI
1349,Matlock,53.1333,-1.5333,United Kingdom,GB
1350,Mersch,49.7489,6.1061,Luxembourg,LU
1351,Budva,42.2864,18.84,Montenegro,ME
1352,Sombor,45.7742,19.1151,Serbia,RS
1353,OdÅ¾aci,45.5076,19.2606,Serbia,RS
1354,Destrnik,46.5006,15.875,Slovenia,SI
1355,Tuzi,42.3656,19.3314,Montenegro,ME
1356,Sarpsborg,59.2833,11.1167,Norway,NO
1357,VerÅ¾ej,46.5836,16.1653,Slovenia,SI
1358,Zgornja Kungota,46.6392,15.6156,Slovenia,SI
1359,Ä†uprija,43.9284,21.3745,Serbia,RS
1360,ÄŒrenÅ¡ovci,46.5744,16.2906,Slovenia,SI
1361,Kobarid,46.2481,13.5772,Slovenia,SI
1362,Markovci,46.3833,15.95,Slovenia,SI
1363,Arilje,43.755,20.097,Serbia,RS
1364,Kovin,44.7482,20.9766,Serbia,RS
1365,Boljevac,43.8321,21.9609,Serbia,RS
1366,Vipava,45.8467,13.9631,Slovenia,SI
1367,Ilirska Bistrica,45.5697,14.2408,Slovenia,SI
1368,Saulkrasti,57.2599,24.4189,Latvia,LV
1369,Å½uÅ¾emberk,45.8339,14.9292,Slovenia,SI
1370,Ialoveni,46.9435,28.7823,Moldova,MD
1371,KosjeriÄ‡,43.9987,19.9079,Serbia,RS
1372,Dobrova,46.055,14.4172,Slovenia,SI
1373,Permâ€™,58.0174,56.2855,Russia,RU
1374,Velike LaÅ¡Äe,45.8322,14.6364,Slovenia,SI
1375,Puconci,46.7067,16.1564,Slovenia,SI
1376,Å kocjan,45.9067,15.2914,Slovenia,SI
1377,Kardzhali,41.65,25.3667,Bulgaria,BG
1378,BaÄka Topola,45.8152,19.6369,Serbia,RS
1379,Dolenjske Toplice,45.7667,15.0667,Slovenia,SI
1380,Drochia,48.0355,27.8129,Moldova,MD
1381,Ä†iÄ‡evac,43.72,21.4436,Serbia,RS
1382,Mokronog,45.9342,15.1408,Slovenia,SI
1383,Herceg-Novi,42.4531,18.5375,Montenegro,ME
1384,PlandiÅ¡te,45.2292,21.1238,Serbia,RS
1385,RogaÅ¡ovci,46.8,16.0333,Slovenia,SI
1386,Virovitica,45.8319,17.3839,Croatia,HR
1387,Kozina,45.61,13.9356,Slovenia,SI
1388,Cankova,46.7208,16.0225,Slovenia,SI
1389,Velika Polana,46.5719,16.3469,Slovenia,SI
1390,SrediÅ¡Äe ob Dravi,46.3942,16.2681,Slovenia,SI
1391,StraÅŸeni,47.1422,28.6077,Moldova,MD
1392,JÃµhvi,59.3592,27.4211,Estonia,EE
1393,BogatiÄ‡,44.8376,19.4807,Serbia,RS
1394,Varvarin,43.7195,21.3712,Serbia,RS
1395,Vidin,43.99,22.8725,Bulgaria,BG
1396,Saint Helens,53.45,-2.7333,United Kingdom,GB
1397,RaÅ¾anj,43.6744,21.5492,Serbia,RS
1398,CÄ“sis,57.3091,25.2761,Latvia,LV
1399,Anenii Noi,46.8784,29.2348,Moldova,MD
1400,Blagoevgrad,42.0167,23.1,Bulgaria,BG
1401,Mionica,44.2524,20.0817,Serbia,RS
1402,Soroca,48.1566,28.2849,Moldova,MD
1403,Sisak,45.4661,16.3783,Croatia,HR
1404,AranÄ‘elovac,44.3077,20.5612,Serbia,RS
1405,Kula,45.6109,19.5274,Serbia,RS
1406,Gabrovo,42.8747,25.3342,Bulgaria,BG
1407,Nova Vas,45.7717,14.5058,Slovenia,SI
1408,ApaÄe,46.6972,15.9106,Slovenia,SI
1409,Cerkvenjak,46.5706,15.9436,Slovenia,SI
1410,Lukovica pri DomÅ¾alah,46.1667,14.7,Slovenia,SI
1411,Krapina,46.1608,15.8789,Croatia,HR
1412,Novi BeÄej,45.6015,20.1364,Serbia,RS
1413,BeÄej,45.6196,20.04,Serbia,RS
1414,JurÅ¡inci,46.4847,15.9714,Slovenia,SI
1415,Aizkraukle,56.6029,25.2636,Latvia,LV
1416,HÃ®nceÅŸti,46.8305,28.5906,Moldova,MD
1417,Orhei,47.3849,28.8245,Moldova,MD
1418,Gornji Grad,46.2953,14.8083,Slovenia,SI
1419,Å½itoraÄ‘a,43.1902,21.7134,Serbia,RS
1420,Videm pri Ptuju,46.3686,15.9064,Slovenia,SI
1421,Titel,45.206,20.2949,Serbia,RS
1422,Cirkulane,46.3453,15.9952,Slovenia,SI
1423,Ungheni,47.2108,27.8005,Moldova,MD
1424,Bar,42.0931,19.1003,Montenegro,ME
1425,Ribnica,45.7386,14.7275,Slovenia,SI
1426,Miren,45.8956,13.6075,Slovenia,SI
1427,Planken,47.1844,9.5436,Liechtenstein,LI
1428,Cocieri,47.3087,29.1101,Moldova,MD
1429,MeroÅ¡ina,43.2813,21.7218,Serbia,RS
1430,Triesenberg,47.1182,9.5444,Liechtenstein,LI
1431,CÄƒlÄƒraÅŸi,47.2556,28.3099,Moldova,MD
1432,FloreÅŸti,47.8914,28.2931,Moldova,MD
1433,Podlehnik,46.3353,15.88,Slovenia,SI
1434,Bovec,46.3375,13.5528,Slovenia,SI
1435,Kotor,42.4258,18.7719,Montenegro,ME
1436,Stara Pazova,44.9861,20.1597,Serbia,RS
1437,Carnikava,57.1293,24.2842,Latvia,LV
1438,Clervaux,50.0547,6.0314,Luxembourg,LU
1439,Redange-sur-Attert,49.7656,5.8908,Luxembourg,LU
1440,HÃ³dmezÅ‘vÃ¡sÃ¡rhely,46.4172,20.3292,Hungary,HU
1441,SÃ®ngerei,47.6363,28.143,Moldova,MD
1442,ZavrÄ,46.3917,16.0497,Slovenia,SI
1443,Ribnica na Pohorju,46.535,15.2728,Slovenia,SI
1444,Criuleni,47.2131,29.1593,Moldova,MD
1445,Briceni,48.3629,27.0779,Moldova,MD
1446,Ä¶ekava,56.8296,24.2318,Latvia,LV
1447,TomaÅ¾ pri OrmoÅ¾u,46.4842,16.0836,Slovenia,SI
1448,EdineÅ£,48.1721,27.3034,Moldova,MD
1449,BeoÄin,45.1916,19.725,Serbia,RS
1450,Ordino,42.5563,1.5327,Andorra,AD
1451,Targovishte,43.2592,26.5892,Bulgaria,BG
1452,Bosilegrad,42.5005,22.4728,Serbia,RS
1453,KniÄ‡,43.927,20.7197,Serbia,RS
1454,Kostanjevica na Krki,45.8461,15.4222,Slovenia,SI
1455,Canillo,42.567,1.5981,Andorra,AD
1456,Vitomarci,46.5275,15.9394,Slovenia,SI
1457,Komen,45.8153,13.7483,Slovenia,SI
1458,SeÄanj,45.3676,20.7732,Serbia,RS
1459,BaÄki Petrovac,45.3616,19.592,Serbia,RS
1460,TeleneÅŸti,47.5011,28.3654,Moldova,MD
1461,CimiÅŸlia,46.5268,28.7644,Moldova,MD
1462,MarijampolÄ—,54.5599,23.3541,Lithuania,LT
1463,FÄƒleÅŸti,47.5767,27.7126,Moldova,MD
1464,Stockton-on-Tees,54.5833,-1.4167,United Kingdom,GB
1465,Kuzma,46.8369,16.0833,Slovenia,SI
1466,DivaÄa,45.6847,13.9703,Slovenia,SI
1467,InÄukalns,57.0987,24.6863,Latvia,LV
1468,OcniÅ£a,48.3827,27.4381,Moldova,MD
1469,Kozje,46.075,15.5603,Slovenia,SI
1470,Jurovski Dol,46.6064,15.7847,Slovenia,SI
1471,Glodeni,47.7751,27.5189,Moldova,MD
1472,KovaÄica,45.1109,20.6236,Serbia,RS
1473,ÄŒoka,45.9415,20.146,Serbia,RS
1474,IkÅ¡Ä·ile,56.834,24.4968,Latvia,LV
1475,Dobje pri Planini,46.1367,15.4089,Slovenia,SI
1476,ÅžoldÄƒneÅŸti,47.8161,28.7972,Moldova,MD
1477,Gornji Petrovci,46.8053,16.2225,Slovenia,SI
1478,Moravske-Toplice,46.6875,16.2256,Slovenia,SI
1479,Podvelka,46.5869,15.3306,Slovenia,SI
1480,Olaine,56.7947,23.9358,Latvia,LV
1481,Nisporeni,47.0816,28.1714,Moldova,MD
1482,Makole,46.3172,15.6672,Slovenia,SI
1483,Basarabeasca,46.3317,28.9636,Moldova,MD
1484,Ä€daÅ¾i,57.0705,24.3371,Latvia,LV
1485,Leova,46.4823,28.253,Moldova,MD
1486,Comrat,46.2946,28.6565,Moldova,MD
1487,Å½abalj,45.3741,20.0707,Serbia,RS
1488,Ozolnieki,56.6899,23.7761,Latvia,LV
1489,Aberaeron,52.25,-4.25,United Kingdom,GB
1490,MedveÄ‘a,42.842,21.5858,Serbia,RS
1491,CÄƒuÅŸeni,46.6367,29.4111,Moldova,MD
1492,Ulcinj,41.9283,19.2064,Montenegro,ME
1493,Vrbas,45.5704,19.6479,Serbia,RS
1494,Å½itiÅ¡te,45.4854,20.5507,Serbia,RS
1495,Taraclia,45.9027,28.6682,Moldova,MD
1496,RazkriÅ¾je,46.5217,16.2811,Slovenia,SI
1497,RoÅ¾aje,42.8439,20.1683,Montenegro,ME
1498,ÄŒajetina,43.7497,19.715,Serbia,RS
1499,Rezina,47.7493,28.9658,Moldova,MD
1500,Rogatec,46.2294,15.7003,Slovenia,SI
1501,Sremska Mitrovica,44.9764,19.6122,Serbia,RS
1502,Åžtefan VodÄƒ,46.5129,29.6619,Moldova,MD
1503,Ivanjica,43.582,20.2284,Serbia,RS
1504,ÄŒrna na KoroÅ¡kem,46.4667,14.85,Slovenia,SI
1505,InÄ‘ija,45.0482,20.0816,Serbia,RS
1506,RÃ®ÅŸcani,47.9479,27.5638,Moldova,MD
1507,Å½abari,44.3562,21.2143,Serbia,RS
1508,Cantemir,46.2774,28.2027,Moldova,MD
1509,Osilnica,45.5292,14.6979,Slovenia,SI
1510,Petrovac na Mlavi,44.3773,21.4198,Serbia,RS
1511,Pazin,45.2403,13.9367,Croatia,HR
1512,ElektrÄ—nai,54.7863,24.6626,Lithuania,LT
1513,Mali IÄ‘oÅ¡,45.7092,19.6663,Serbia,RS
1514,Ub,44.4572,20.0762,Serbia,RS
1515,RaÄa,44.2268,20.979,Serbia,RS
1516,Srbobran,45.5481,19.7954,Serbia,RS
1517,Ljig,44.2266,20.2394,Serbia,RS
1518,Rekovac,43.8609,21.0958,Serbia,RS
1519,Garkalne,57.0449,24.4195,Latvia,LV
1520,Novi KneÅ¾evac,46.041,20.0958,Serbia,RS
1521,LielvÄrde,56.7213,24.8062,Latvia,LV
1522,Sigulda,57.1538,24.8595,Latvia,LV
1523,Lajkovac,44.37,20.1644,Serbia,RS
1524,Priboj,43.5836,19.5258,Serbia,RS
1525,Bijelo Polje,43.0292,19.7456,Montenegro,ME
1526,Grad,46.8,16.1,Slovenia,SI
1527,Aleksandrovac,43.4609,21.0539,Serbia,RS
1528,Berane,42.8425,19.8733,Montenegro,ME
1529,Petnjica,42.9089,19.9644,Montenegro,ME
1530,SodraÅ¾ica,45.7611,14.6356,Slovenia,SI
1531,Jonava,55.0801,24.2754,Lithuania,LT
1532,Dobrovnik,46.6514,16.3525,Slovenia,SI
1533,Malo CrniÄ‡e,44.5603,21.2906,Serbia,RS
1534,PiÅ†Ä·i,56.9419,23.9137,Latvia,LV
1535,KurÅ¡umlija,43.139,21.2735,Serbia,RS
1536,RaÅ¡ka,43.2859,20.6135,Serbia,RS
1537,Mislinja,46.4411,15.1956,Slovenia,SI
1538,Golubac,44.6529,21.6308,Serbia,RS
1539,Trnovska Vas,46.5167,15.9,Slovenia,SI
1540,PeÄ‡inci,44.9089,19.9664,Serbia,RS
1541,Nova Crnja,45.6685,20.6042,Serbia,RS
1542,Druskininkai,54.0157,23.987,Lithuania,LT
1543,MaÅ¾eikiai,56.3122,22.3265,Lithuania,LT
1544,SeinÃ¤joki,62.8,22.8333,Finland,FI
1545,BaÄ,45.3923,19.2367,Serbia,RS
1546,Smolyan,41.5853,24.6919,Bulgaria,BG
1547,PodÄetrtek,46.1569,15.5986,Slovenia,SI
1548,DonduÅŸeni,48.2394,27.6056,Moldova,MD
1549,Irig,45.1001,19.8603,Serbia,RS
1550,Kretinga,55.8888,21.2445,Lithuania,LT
1551,Majdanpek,44.4228,21.9358,Serbia,RS
1552,Danilovgrad,42.5472,19.1053,Montenegro,ME
1553,Ogre,56.8113,24.6113,Latvia,LV
1554,Ruma,45.0079,19.8171,Serbia,RS
1555,SkrÄ«veri,56.6485,25.1195,Latvia,LV
1556,Trakai,54.6399,24.936,Lithuania,LT
1557,Hrib-LoÅ¡ki Potok,45.7011,14.5911,Slovenia,SI
1558,BirÅ¡tonas,54.6048,24.0311,Lithuania,LT
1559,NikÅ¡iÄ‡,42.775,18.9583,Montenegro,ME
1560,Beverley,53.8333,-0.4167,United Kingdom,GB
1561,Irvine,55.6,-4.6667,United Kingdom,GB
1562,Bauska,56.4079,24.1944,Latvia,LV
1563,Utena,55.4976,25.5992,Lithuania,LT
1564,TauragÄ—,55.2522,22.2897,Lithuania,LT
1565,PlungÄ—,55.9077,21.8456,Lithuania,LT
1566,Silistra,44.1167,27.2667,Bulgaria,BG
1567,Alibunar,45.0789,20.9682,Serbia,RS
1568,Å ilutÄ—,55.3453,21.4733,Lithuania,LT
1569,Kobilje,46.6847,16.3978,Slovenia,SI
1570,Vladimirci,44.6158,19.7843,Serbia,RS
1571,Baldone,56.7445,24.4008,Latvia,LV
1572,PreiÄ¼i,56.294,26.7248,Latvia,LV
1573,VilkaviÅ¡kis,54.648,23.0305,Lithuania,LT
1574,Kranjska Gora,46.4839,13.7894,Slovenia,SI
1575,Iecava,56.5977,24.2076,Latvia,LV
1576,Kilmarnock,55.6333,-4.5333,United Kingdom,GB
1577,PriekuÄ¼i,57.3115,25.3571,Latvia,LV
1578,Plav,42.5969,19.9456,Montenegro,ME
1579,Gusinje,42.5619,19.8339,Montenegro,ME
1580,TelÅ¡iai,55.9831,22.2343,Lithuania,LT
1581,KÄ—dainiai,55.2878,23.9727,Lithuania,LT
1582,Å½etale,46.275,15.7939,Slovenia,SI
1583,Tutin,42.99,20.3334,Serbia,RS
1584,BabuÅ¡nica,43.068,22.4115,Serbia,RS
1585,KaiÅ¡iadorys,54.8653,24.4682,Lithuania,LT
1586,Brus,43.3846,21.0289,Serbia,RS
1587,Tukums,56.9676,23.1555,Latvia,LV
1588,Dobele,56.6237,23.2751,Latvia,LV
1589,Nida,55.3086,20.9965,Lithuania,LT
1590,Prienai,54.636,23.9458,Lithuania,LT
1591,UkmergÄ—,55.2494,24.7636,Lithuania,LT
1592,AkmenÄ—,56.25,22.75,Lithuania,LT
1593,Kalvarija,54.4172,23.2283,Lithuania,LT
1594,Å alovci,46.825,16.2981,Slovenia,SI
1595,OseÄina,44.3728,19.601,Serbia,RS
1596,RadviliÅ¡kis,55.8111,23.5411,Lithuania,LT
1597,Veliko GradiÅ¡te,44.7638,21.5163,Serbia,RS
1598,ViÄ¼Äni,56.5505,26.9298,Latvia,LV
1599,KuÄevo,44.4767,21.6712,Serbia,RS
1600,LÄ«gatne,57.2379,25.0436,Latvia,LV
1601,Koceljeva,44.4687,19.8214,Serbia,RS
1602,Temerin,45.4095,19.8911,Serbia,RS
1603,KazlÅ³ RÅ«da,54.7497,23.495,Lithuania,LT
1604,Raseiniai,55.3797,23.1239,Lithuania,LT
1605,Mojkovac,42.9639,19.5825,Montenegro,ME
1606,GadÅ¾in Han,43.2223,22.0333,Serbia,RS
1607,Roja,57.5015,22.8088,Latvia,LV
1608,LÄ«vÄni,56.3567,26.1761,Latvia,LV
1609,Lapovo,44.1877,21.0969,Serbia,RS
1610,Opovo,45.0522,20.4313,Serbia,RS
1611,RopaÅ¾i,56.9747,24.6329,Latvia,LV
1612,Å ilalÄ—,55.4898,22.1869,Lithuania,LT
1613,Å akiai,54.9534,23.0478,Lithuania,LT
1614,Å alÄininkai,54.3086,25.3868,Lithuania,LT
1615,Pljevlja,43.3522,19.3542,Montenegro,ME
1616,GrobiÅ†a,56.5358,21.1747,Latvia,LV
1617,SmÄrde,56.9533,23.3387,Latvia,LV
1618,JoniÅ¡kis,56.2394,23.6154,Lithuania,LT
1619,Pasvalys,56.0625,24.3997,Lithuania,LT
1620,Kajaani,64.2333,27.6833,Finland,FI
1621,Skuodas,56.2706,21.5321,Lithuania,LT
1622,Talsi,57.2465,22.5876,Latvia,LV
1623,Å irvintos,55.044,24.9545,Lithuania,LT
1624,Bistrica ob Sotli,46.0589,15.6642,Slovenia,SI
1625,KrÄslava,55.8969,27.172,Latvia,LV
1626,PilsrundÄle,56.4181,24.0162,Latvia,LV
1627,MÄ“rsrags,57.3364,23.1235,Latvia,LV
1628,RokiÅ¡kis,55.9587,25.5947,Lithuania,LT
1629,Jurbarkas,55.0756,22.7642,Lithuania,LT
1630,TÄ“rvete,56.4798,23.3902,Latvia,LV
1631,KelmÄ—,55.6301,22.9349,Lithuania,LT
1632,MÄlpils,57.0101,24.9578,Latvia,LV
1633,KupiÅ¡kis,55.8401,24.9803,Lithuania,LT
1634,BirÅ¾ai,56.1986,24.7521,Lithuania,LT
1635,SolÄava,46.4194,14.6936,Slovenia,SI
1636,PagÄ—giai,55.1379,21.9138,Lithuania,LT
1637,RÅ«jiena,57.8961,25.3342,Latvia,LV
1638,Cetinje,42.3922,18.9225,Montenegro,ME
1639,Koknese,56.6516,25.4364,Latvia,LV
1640,Saldus,56.6666,22.4935,Latvia,LV
1641,PÄ¼aviÅ†as,56.6177,25.7194,Latvia,LV
1642,Ragana,57.1821,24.7056,Latvia,LV
1643,Auce,56.4611,22.9028,Latvia,LV
1644,LimbaÅ¾i,57.513,24.724,Latvia,LV
1645,Pakruojis,55.9789,23.8551,Lithuania,LT
1646,Ludza,56.5396,27.7189,Latvia,LV
1647,Cesvaine,56.9675,26.3076,Latvia,LV
1648,Aizpute,56.7211,21.6016,Latvia,LV
1649,Lazdijai,54.2333,23.5147,Lithuania,LT
1650,HodoÅ¡,46.8233,16.3342,Slovenia,SI
1651,KuldÄ«ga,56.969,21.968,Latvia,LV
1652,Å venÄionys,55.133,26.1595,Lithuania,LT
1653,Kandava,57.0389,22.7724,Latvia,LV
1654,Andrijevica,42.7339,19.7919,Montenegro,ME
1655,Smiltene,57.4242,25.9017,Latvia,LV
1656,AnykÅ¡Äiai,55.5246,25.1066,Lithuania,LT
1657,Zarasai,55.7322,26.2512,Lithuania,LT
1658,MolÄ—tai,55.2247,25.4169,Lithuania,LT
